Year,Player,GradStatus,School,Conference,Team,Round,PickNumber,Height,Weight,FortyYdSpr,JmpVert,BPress,BrJump,ThreeCone,RunShut,BMI,Player_Type,Position_Type,Position,Drafted,filter_$
2019,Riley Ridley\RidlRi00,    2.00,Georgia,NFC,ChicagoBears,Middle,126,1.8542,90.26488163,4.58,77.47,13,314.96,7.22,4.28,26.25461557,offense,backs_receivers,WR,Yes,1
2019,Michael Jordan\JordMi01,    1.00,Ohio St.,AFC,CincinnatiBengals,Middle,136,1.9812,141.5208194,5.27,82.55,19,294.64,7.71,4.71,36.05485024,offense,offensive_lineman,OT,Yes,1
2019,Jonah Williams\WillJo10,    1.00,Alabama,AFC,CincinnatiBengals,Early,11,1.9304,136.9848957,5.12,71.12,23,254,8.01,4.79,36.76021694,offense,offensive_lineman,OT,Yes,1
2019,Trayveon Williams\WillTr06,    1.00,Texas A&M,AFC,CincinnatiBengals,Late,182,1.7272,93.44002822,4.51,83.82,19,307.34,7.44,4.44,31.32187141,offense,backs_receivers,RB,Yes,1
2019,Mike Jackson\JackMi01,    2.00,Miami (FL),NFC,DallasCowboys,Middle,158,1.8542,95.2543977,4.45,102.87,13,330.2,7.12,4.12,27.70587572,defense,defensive_back,CB,Yes,1
2019,Dalton Risner\RisnDa00,    2.00,Kansas St.,AFC,DenverBroncos,Early,41,1.9558,141.5208194,5.3,72.39,23,279.4,7.69,4.52,36.99742096,offense,offensive_lineman,OT,Yes,1
2019,Noah Fant\FantNo00,    1.00,Iowa,AFC,DenverBroncos,Early,20,1.9304,112.9445001,4.5,100.33,20,322.58,6.81,4.22,30.30892059,offense,backs_receivers,TE,Yes,1
2019,Amani Oruwariye\OruwAm00,    2.00,Penn St.,NFC,DetroitLions,Middle,146,1.8796,92.98643585,4.47,92.71,17,304.8,6.82,4.16,26.32017236,defense,defensive_back,CB,Yes,1
2019,T.J. Hockenson\HockTJ00,    1.00,Iowa,NFC,DetroitLions,Early,8,1.9558,113.8516849,4.7,95.25,17,312.42,7.02,4.18,29.76395083,offense,backs_receivers,TE,Yes,1
2019,Will Harris\HarrWi02,    2.00,Boston Col.,NFC,DetroitLions,Middle,81,1.8542,93.89362059,4.41,92.71,20,312.42,6.91,4.12,27.3100775,defense,defensive_back,S,Yes,1
2019,Dexter Williams\WillDe07,    2.00,Notre Dame,NFC,GreenBayPackers,Late,194,1.8034,96.16158244,4.57,91.44,17,330.2,7,4.16,29.56769508,offense,backs_receivers,RB,Yes,1
2019,Jace Sternberger\SterJa00,    2.00,Texas A&M,NFC,GreenBayPackers,Middle,75,1.9304,113.8516849,4.75,80.01,17,287.02,7.19,4.31,30.55236574,offense,backs_receivers,TE,Yes,1
2019,Darnell Savage\SavaDa00,    1.00,Maryland,NFC,GreenBayPackers,Early,21,1.8034,89.81128926,4.36,100.33,11,320.04,7.03,4.14,27.61511144,defense,defensive_back,S,Yes,1
2019,Kahale Warring\WarrKa00,    1.00,San Diego St.,AFC,HoustonTexans,Middle,86,1.9558,114.3052772,4.67,92.71,19,309.88,7.21,4.25,29.88253231,offense,backs_receivers,TE,Yes,1
2019,Lonnie Johnson\JohnLo01,    1.00,Kentucky,AFC,HoustonTexans,Early,54,1.8796,96.61517481,4.52,96.52,15,327.66,7.01,4.1,27.34730103,defense,defensive_back,CB,Yes,1
2019,Jackson Barton\BartJa00,    2.00,Utah,AFC,IndianapolisColts,Late,240,2.0066,140.6136347,5.18,68.58,25,276.86,7.85,4.66,34.92253961,offense,offensive_lineman,OT,Yes,1
2019,Rock Ya-Sin\Ya-SRo00,    2.00,Temple,AFC,IndianapolisColts,Early,34,1.8288,87.08973504,4.51,100.33,18,304.8,7.31,4.31,26.03961406,defense,defensive_back,CB,Yes,1
2019,Josh Oliver\OlivJo00,    1.00,San Jose St.,AFC,JacksonvilleJaguars,Middle,69,1.9558,112.9445001,4.63,86.36,22,297.18,7.21,4.47,29.52678788,offense,backs_receivers,TE,Yes,1
2019,Ryquell Armstead\ArmsRy00,    2.00,Temple,AFC,JacksonvilleJaguars,Middle,140,1.8034,99.7903214,4.45,76.2,22,289.56,7.02,4.29,30.68345716,offense,backs_receivers,RB,Yes,1
2019,Isaiah Prince\PrinIs00,    1.00,Ohio St.,AFC,MiamiDolphins,Late,202,1.9812,138.3456729,5.09,68.58,23,292.1,7.9,5.02,35.24592732,offense,offensive_lineman,OT,Yes,1
