V240001,V241004,V241006,V241012,V241025,V241042,V241043,V241100,V241104,V241108,V241118,V241119,V241120,V241121,V241122,V241123,V241124,V241125,V241126,V241141,V241150,V241153,V241166,V241167,V241200,V241201,V241202,V241203,V241204,V241205,V241206,V241207,V241208,V241209,V241215,V241231,V241232,V241233,V241234,V241450,V241459,V241463,V241471,V241501x,V241521,V241621,V243052
225847,2,1,1,5,1,1,1,1,1,2,3,4,2,2,5,1,4,4,1,1,1,60,15,2,2,3,2,1,5,5,5,5,2,1,1,1,3,2,1,1,4,1,2,0,4,DS
225978,3,2,1,5,1,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,30,50,5,5,5,5,3,3,5,4,5,2,1,1,1,2,2,2,1,4,1,1,1,1,DS
226061,2,1,1,2,1,1,1,1,5,3,3,3,3,3,3,2,4,3,1,2,1,50,15,3,4,3,2,3,3,5,5,5,2,2,1,2,4,2,1,1,4,1,1,0,2,DS
226673,1,1,1,1,1,1,1,1,1,5,2,1,2,5,1,5,2,2,1,1,1,100,15,1,1,1,1,1,5,5,5,5,5,2,1,1,3,2,1,1,2,2,2,0,2,DS
226726,1,1,1,1,1,1,2,1,1,3,1,1,1,3,3,3,1,2,1,1,1,65,45,3,2,2,2,2,4,5,5,5,4,1,2,2,5,3,0,4,4,1,3,0,2,DS
226997,2,1,1,1,1,1,1,1,1,4,3,1,3,3,3,4,3,4,1,1,1,85,30,1,1,1,1,1,5,5,5,5,5,1,1,2,4,2,1,1,4,2,1,0,1,DS
229493,3,2,1,2,1,2,3,5,5,1,4,5,5,1,4,1,5,4,2,2,2,10,85,5,4,4,5,4,1,3,2,3,1,2,1,1,3,3,0,6,3,1,1,0,4,DS
229606,2,2,2,5,1,2,2,5,5,3,3,4,4,2,4,2,3,4,2,2,2,15,60,5,5,5,5,3,2,3,4,3,3,2,1,1,3,3,3,4,2,2,1,1,4,DS
229794,2,1,1,5,1,2,1,2,2,2,4,2,3,1,2,1,3,4,2,2,2,40,80,5,4,4,4,1,1,2,2,3,3,2,1,1,2,4,1,4,4,1,1,0,2,DS
229829,2,2,1,5,1,2,1,5,2,2,4,2,3,1,5,1,2,5,2,2,2,10,60,5,5,4,4,1,1,3,1,3,3,2,1,2,3,3,2,1,2,1,1,1,2,DS
229845,4,2,1,5,1,2,1,5,5,1,5,5,5,1,5,1,5,5,2,2,2,15,85,5,5,5,5,5,2,2,2,2,2,2,1,1,1,5,1,3,2,1,2,0,2,DS
229904,4,2,1,5,1,1,3,1,5,2,4,3,2,2,4,1,4,4,1,1,1,80,50,3,4,4,4,4,5,5,5,5,3,2,1,1,2,4,1,4,1,1,1,1,3,DS
230057,2,2,1,5,1,2,1,2,2,1,4,4,4,1,4,1,5,4,2,2,2,15,85,5,5,4,5,3,1,1,1,1,1,1,1,1,4,2,3,1,3,2,1,1,2,DS
230069,2,2,1,5,1,2,1,2,2,1,4,3,4,1,4,1,4,4,2,2,2,5,75,5,5,4,5,3,2,2,2,3,3,2,1,1,2,3,3,1,4,1,1,2,2,DS
230425,3,2,1,2,1,2,4,2,2,3,3,2,3,3,3,2,3,3,2,2,2,30,60,4,4,5,5,4,3,3,3,3,3,1,1,2,3,3,1,1,2,1,1,3,4,DS
230449,3,1,2,5,1,2,2,2,2,1,2,3,3,1,3,1,4,3,2,2,2,10,70,5,5,5,5,2,1,3,2,4,1,1,1,1,3,2,4,1,2,2,1,3,2,DS
230567,4,2,1,4,1,2,2,5,5,1,5,5,5,1,5,1,5,5,2,2,2,15,85,5,5,4,5,2,1,2,2,2,2,2,1,1,2,3,3,6,4,1,1,2,5,DS
230878,4,2,1,5,1,2,1,2,2,2,2,2,3,1,3,1,4,3,1,2,2,50,50,5,4,4,5,4,3,4,4,5,1,1,1,2,2,4,0,6,5,1,6,0,2,DS
230972,2,1,1,2,1,2,1,2,2,2,3,3,3,3,3,3,3,3,2,2,2,20,85,5,5,4,5,4,3,3,3,3,2,1,2,2,3,2,3,1,4,1,6,3,1,DS
