student_id,year,country,mother_educ,father_educ,gender,math,read,science,stu_wgt,computer,internet,room,television,computer_n,car,book,wealth,escs
3736,2012,USA,5,5,female,450.5453,507.4887,469.9179,705.1734,yes,yes,yes,3+,3+,2,11-25,Moderate,Lower
2143,2012,USA,5,3,male,519.0139,522.2886,559.2503,722.2776,yes,yes,yes,3+,3+,1,101-200,Moderate,HIgher
2223,2012,USA,5,5,female,512.7824,595.3394,622.6595,809.8905,yes,yes,yes,3+,1,3+,101-200,Moderate,HIgher
2748,2012,USA,5,5,male,701.9863,698.4759,732.693,819.6524,yes,yes,yes,3+,2,2,201-500,Moderate,HIgher
1711,2012,USA,5,5,female,401.0827,417.0962,406.3223,476.2102,no,no,yes,2,0,2,0-10,Moderate,Lower
84007745,2018,USA,5,5,male,440.602,451.976,483.932,1021.77213,yes,yes,yes,3+,3+,3+,26-100,Moderate,HIgher
84000375,2018,USA,5,5,male,549.403,531.224,539.342,913.10153,yes,yes,yes,3+,2,2,0-10,Moderate,HIgher
4581,2012,USA,5,5,male,418.2193,424.1305,482.7863,647.5669,yes,yes,yes,2,3+,2,26-100,Moderate,HIgher
84004830,2018,USA,5,5,male,439.651,432.057,420.005,819.45495,no,yes,yes,3+,0,2,26-100,Moderate,Lower
1185,2012,USA,5,5,male,699.7274,669.6059,720.8504,843.4872,yes,yes,yes,3+,3+,2,101-200,Moderate,HIgher
618,2012,USA,5,5,male,441.3538,453.0005,481.0145,653.6937,yes,yes,yes,3+,3+,3+,26-100,High,HIgher
84003532,2018,USA,3,1,male,516.238,527.876,579.037,831.57419,no,yes,yes,1,0,3+,11-25,Moderate,Lower
84000378,2018,USA,5,5,male,510.449,481.455,537.579,574.34329,yes,yes,yes,3+,2,3+,101-200,Moderate,HIgher
476,2012,USA,5,5,female,585.613,636.4052,595.0578,1093.1556,yes,yes,yes,3+,2,3+,101-200,Moderate,HIgher
4502,2012,USA,2,2,female,465.5009,489.3784,477.2846,828.4967,yes,yes,yes,3+,1,2,0-10,Moderate,Lower
