Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,CA,2020,12,Female,15,Right-Handed,157,22.6,155,1,Car,6,0.736,36,Soccer,10,9,9,10,8,8,23.5,Right foot,68,67,Index finger,November,Winter,No,No,No favorite,Water,Mathematics and statistics,9,8,15,Yes - other,Text messaging,9,12,2,2,5,12,4,0,3,3,2,0,0,5,Some,Graduate degree,Other,Invisibility,Happy,Teacher,Education/Youth development
USA,CA,2017,9,Female,14,Right-Handed,168,25,172,2,Bus,60,0.439,59,Swimming,700,800,1000,955,200,500,24,Right foot,65,76,Ring finger,October,Summer,No,No,Fruit,Water,English,7,12,4,Yes - other,Text messaging,50,70,8,1,3,5,9,0,0,5,3,1,0,6,A lot,Graduate degree,Other,Freeze time,Healthy,Coach or club leader,Health
USA,CA,2023,9,Female,14,Right-Handed,154.9,23.5,152,2,Car,5,0.424,35,None,707,807,809,1000,500,890,23.5,Same length,60,60,Same length,April,Spring,No,No,No favorite,Water,Other,9,7,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",110,110,22,25,6,25,3,22,25,25,0,4,0,5,Some,Other,Other,Telepathy,Rich,Other,Other
USA,GA,2019,12,Female,18,Right-Handed,162.5,24.6,160,2,Walk,5,0.485,38,Dancing,900,700,500,600,900,1000,24.6,Same length,75,70,Index finger,December,Summer,Yes,No,Pizza/Pasta,Soft drink (caffeinated),Science,5,7,6,Yes - other,Text messaging,5,4,6,0,50,5,7,0,7,2,4,5,0,0,A lot,Graduate degree,Country,Fly,Happy,Relative,Health
USA,CA,2020,12,Male,17,Right-Handed,171,29,170,2,Car,20,0.47,40,Walking/Hiking,600,650,850,900,800,1000,29,Same length,48,50,Ring finger,May,Winter,No,No,Seafood,Water,Art,7,11,4,Yes - broadband connection,Internet chat or instant messaging,7,6,0,0,4,2,0,6,0,4,7,0,0,2,Some,Graduate degree,Jazz,Freeze time,Happy,Friend,"Arts, culture, sports"
USA,CA,2016,12,Female,17,Right-Handed,157.4,25,157.4,2,Car,30,0.388,66,Basketball,900,700,800,800,400,500,24.5,Right foot,63.5,63.5,Same length,June,Fall,No,No,No favorite,Water,Science,6,8,5,Yes - broadband connection,Internet chat or instant messaging,50,100,10,0,50,30,20,0,5,15,5,15,6,10,Very little,Graduate degree,Other,Telepathy,Healthy,Sports person,"Wildlife, animals"
USA,CA,2021,12,Female,17,Right-Handed,160,25,159,2,Car,10,0.319,40,Skateboarding/Rollerblading,80,60,90,30,90,100,25,Same length,63,65,Ring finger,March,Winter,No,No,Seafood,Water,Science,6,10,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",80,50,7,2,15,3,3,6,9,3,9,2,12,5,Some,Other,Rap/Hip hop,Fly,Rich,Doctor or nurse,Health
USA,CA,2015,6,Female,11,Right-Handed,151,23.5,155,2,Car,45,0.445,43,Cycling,1000,1000,1000,1000,20,20,23.5,Same length,70,60.5,Index finger,August,Summer,No,No,Salads,Water,History,7,8,4,Yes - other,In person,30,30,50,0,10,20,5,0,2,5,5,5,0,1,Some,Graduate degree,Other,Fly,Happy,Other,Environment
USA,GA,2017,6,Male,11,Right-Handed,146,22,148,2,Car,7,0.228,56,Football (American),1000,1000,1000,999,988,1000,22,Same length,80,90,Ring finger,August,Summer,No,No,Meat,Water,Mathematics and statistics,10,7,5,Yes - other,Text messaging,40,34,1,0,5,15,7,20,20,10,10,2,0,1,Very little,Graduate degree,Gospel,Telepathy,Happy,Religious figure,Religious
USA,CA,2011,12,Male,17,Right-Handed,186,27.5,190,2,Car,10,0.249,42,Tennis,513,513,513,450,1000,1000,27.5,Same length,100,100.4,Ring finger,October,Winter,No,No,Desserts,Water,Science,5,8,4,Yes - broadband connection,Text messaging,100,100,15,7,30,10,15,5,20,15,30,10,0,5,Some,Graduate degree,Rhythm and blues (R&B),Fly,Rich,Sports person,Health
USA,GA,2011,6,Male,11,Right-Handed,147,23,149,1,Bus,20,0.421,73,Cycling,914,995,995,300,1000,16,24,Left foot,82,86,Ring finger,December,Winter,No,No,Pizza/Pasta,Milk,Music,9,11,4,Yes - broadband connection,Other,0,0,4,1,1,3,2,2,0,1,2,1,1,1,Very little,Graduate degree,Pop,Fly,Rich,Teacher,International aid
