Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours
USA,CT,2020,12,Female,18,Right-Handed,165.1,25,160,1,Car,7,0.487,40,Soccer,561,888,888,898,508,631,25,Same length,80,75,Index finger,December,Fall,No,No,Desserts,Water,Music,6,9,3,Yes - broadband connection,In person,50,50,15,2.5,8,2,0,0,17,4,6
USA,TN,2020,12,Female,17,Right-Handed,170,18,168,1,Car,12,0.558,46,Other,450,500,650,500,350,750,19,Left foot,139,137,Index finger,December,Fall,No,No,Meat,Water,English,5,8,3,Yes - other,"Myspace, Facebook, other social networking sites, or blog",30,35,5,1,7,17,3,0,12,3,2
USA,TN,2020,6,Male,11,Right-Handed,156.2,25.4,165,3,Car,10,0.705,44,Lacrosse,1000,1000,1000,1000,500,950,25.5,Left foot,76.2,88.9,Ring finger,March,Summer,Yes,No,Meat,Soft drink (caffeinated),History,5,9,5,Yes - broadband connection,Text messaging,86,90,2,1,5,10,0,16,10,10,8
USA,TN,2020,6,Female,12,Right-Handed,172.7,25.4,174,2,Car,4,0.189,48,Baseball/Softball,10,10,10,10,10,10,25.4,Same length,111.6,111.6,Same length,August,Summer,Yes,Yes,Salads,Tea,Art,8.5,14,4,Yes - other,Internet chat or instant messaging,102,1104,11,12,14,0,17,18,10,10,12
USA,TN,2020,12,Male,17,Right-Handed,155,22.15,155,1,Car,20,0.434,42,Swimming,893,487,743,856,979,1000,23.5,Left foot,60,63,Ring finger,June,Fall,Yes,No,Rice/Noodle dishes,Sports drink,History,8,9,3,Yes - broadband connection,Text messaging,80,75,15,25,3,3,12,5,1,15,10
USA,CT,2020,12,Male,17,Right-Handed,179,26,162,2,Bus,40,0.399,56,Athletics,70,184,1000,508,230,775,27,Left foot,82,88,Ring finger,December,Fall,No,No,Breads/Sandwiches,Tea,Art,5,10,4,Yes - broadband connection,Text messaging,23,8,8,10,14,13,0,0,30,10,30
USA,TN,2020,6,Male,12,Right-Handed,15.75,23,139,1,Car,30,0.354,49,Basketball,7,3,6,4,100,100,21,Same length,90,9,Ring finger,November,Summer,Yes,No,Meat,Tea,Other,9,24,5,Yes - broadband connection,Other,200,1750,11,6,1,24,24,24,24,24,24
USA,TN,2020,12,Female,17,Right-Handed,177.8,23,173,1,Car,3,0.71,45,Basketball,500,500,500,500,500,1000,23,Same length,70,65,Index finger,June,Summer,No,No,Pizza/Pasta,Soft drink (caffeinated),History,7,9,4,Yes - other,"Myspace, Facebook, other social networking sites, or blog",35,40,32,7,1,10,25,0,21,42,42
USA,CT,2020,12,Female,17,Left-Handed,160,22,122,1,Car,12,0.511,46,None,417,209,203,214,1000,1000,21,Right foot,85,85,Same length,July,Summer,No,No,Rice/Noodle dishes,Water,Science,7,10,4,Yes - broadband connection,Text messaging,200,200,12,4,4,3,0,0,40,40,100
USA,TN,2020,6,Female,11,Right-Handed,57,19,150,3,Car,45,0.338,45,Dancing,53,31,100,100,0,3,18,Right foot,90,6,Index finger,June,Summer,Yes,No,Other,Water,Other,8,3,4,Yes - broadband connection,"Myspace, Facebook, other social networking sites, or blog",43,216,12,5,1,3,0,1,1,2,24
