Country,Region,DataYear,ClassGrade,Gender,Ageyears,Handed,Height_cm,Footlength_cm,Armspan_cm,Languages_spoken,Travel_to_School,Travel_time_to_School,Reaction_time,Score_in_memory_game,Favourite_physical_activity,Importance_reducing_pollution,Importance_recycling_rubbish,Importance_conserving_water,Importance_saving_energy,Importance_owning_computer,Importance_Internet_access,Left_Footlength_cm,Longer_foot,Index_Fingerlength_mm,Ring_Fingerlength_mm,Longer_Finger_Lefthand,Birth_month,Favorite_Season,Allergies,Vegetarian,Favorite_Food,Beverage,Favorite_School_Subject,Sleep_Hours_Schoolnight,Sleep_Hours_Non_Schoolnight,Home_Occupants,Home_Internet_Access,Communication_With_Friends,Text_Messages_Sent_Yesterday,Text_Messages_Received_Yesterday,Hanging_Out_With_Friends_Hours,Talking_On_Phone_Hours,Doing_Homework_Hours,Doing_Things_With_Family_Hours,Outdoor_Activities_Hours,Video_Games_Hours,Social_Websites_Hours,Texting_Messaging_Hours,Computer_Use_Hours,Watching_TV_Hours,Paid_Work_Hours,Work_At_Home_Hours,Schoolwork_Pressure,Planned_Education_Level,Favorite_Music,Superpower,Preferred_Status,Role_Model_Type,Charity_Donation
USA,OH,2023,12,Female,17,Right-Handed,161,21,161,1,Car,22,0.797,29,Other,750,800,600,600,950,1000,22.5,Left foot,78,78,Same length,September,Fall,No,No,Seafood,Coffee,Social studies,6,8,5,Yes - broadband connection,Text messaging,35,40,10,25,10,2,10,0,3,3,20,10,5,1,A lot,Graduate degree,Other,Fly,Famous,Musician or singer,International aid
USA,OH,2013,12,Male,17,Right-Handed,193,28,182,1,Car,10,0.33,24,Cycling,500,700,600,400,750,800,28,Same length,78,83,Ring finger,February,Summer,No,No,Fruit,Water,Science,5,8,4,Yes - broadband connection,In person,20,8,20,0,0,30,20,20,0,2,10,3,12,4,Some,Some college,Other,Fly,Happy,Other,Environment
USA,OH,2020,7,Female,12,Left-Handed,170,23,130,2,Car,10,0.396,39,Soccer,1000,1000,1000,1000,0,50,23,Same length,82,76,Index finger,May,Summer,No,No,Pizza/Pasta,Water,English,9,10,4,Yes - other,In person,0,0,6,0,3,8,3,1,0,0,2,3,0,0,Some,Some college,Pop,Fly,Happy,Musician or singer,Health
USA,OH,2016,12,Female,26,Right-Handed,170,25,160,1,Car,22,0.507,47,Tennis,500,700,500,500,600,700,24.5,Right foot,75,72,Index finger,February,Fall,No,No,Desserts,Water,Mathematics and statistics,8,9,3,Yes - broadband connection,Text messaging,15,15,4,0.5,3,40,2,0,2,0.75,10,10,0,15,Some,Graduate degree,Country,Fly,Happy,Community leader or elder,Health
USA,OH,2013,9,Male,14,Right-Handed,187.9,12,140,2,Walk,30,0.593,34,Football (American),100,100,100,100,1000,1000,22,Right foot,85,80,Index finger,February,Summer,Yes,No,No favorite,Powdered drink,Physical education,9,6,3,Yes - other,Internet chat or instant messaging,8,9,36,14,5,9,16,8,12,15,15,7,0,5,Some,Undergraduate degree,Pop,Fly,Rich,Relative,"Wildlife, animals"
USA,OH,2017,12,Female,17,Right-Handed,167.6,23,147,1,Car,30,0.466,62,Other,800,600,950,1000,200,500,23,Same length,88,88,Same length,March,Fall,Yes,No,Desserts,Powdered drink,English,5,9,9,Yes - broadband connection,Text messaging,90,50,16,10,4,1,15,0,19,19,21,10,24,15,Some,Graduate degree,Pop,Invisibility,Happy,Actor,Health
USA,OH,2022,6,Male,11,Ambidextrous,177,28,187,3,Bus,60,0.329,54,Basketball,1000,999,998,500,250,250,29,Left foot,110,110,Same length,June,Summer,No,No,Salads,Water,Mathematics and statistics,9,11,8,Yes - broadband connection,Text messaging,0,0,2,0,5,50,40,0,0,0,2,0,5,5,None,Other,Gospel,Invisibility,Healthy,Business person,Other
USA,FL,2021,12,Male,17,Right-Handed,177.5,23,183,1,Bicycle,15,0.665,51,None,900,850,825,850,750,875,25,Left foot,90,85,Index finger,September,Summer,No,No,No favorite,Soft drink (caffeinated),Science,7,9,4,Yes - broadband connection,Text messaging,10,7,9,2,12,14,7,20,4,4,13,3,0,6,Some,Graduate degree,Other,Super strength,Happy,Community leader or elder,"Wildlife, animals"
USA,OH,2017,8,Female,15,Right-Handed,162,24,167,2,Car,15,0.772,51,Other,1000,1000,1000,1000,500,600,25,Left foot,85,100,Ring finger,November,Fall,No,No,Desserts,Juice,Art,9,5,5,Yes - broadband connection,Text messaging,7,10,0,0,0,2,1,0,0,0,5,3,0,1,Very little,Graduate degree,Pop,Telepathy,Happy,Relative,"Wildlife, animals"
USA,OH,2015,12,Female,20,Left-Handed,160,24,148,2,Car,5,0.46,46,Soccer,6,3,5,4,2,1,25,Left foot,86,80,Index finger,March,Fall,Yes,No,Poultry,Water,Languages,6,9,4,Yes - broadband connection,Cell phone,40,50,10,5,20,5,5,0,10,5,10,3,25,10,Some,Graduate degree,Country,Fly,Happy,Relative,"Wildlife, animals"
